Date,Startup Name,Industry Vertical,SubVertical,Location,Investors Name,InvestmentnType,Amount
2020-01-13,Pand,Logistics,"Open-market, freight management platform",Chennai,Chiratae ventures,Series A,74.25
2020-01-13,Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehanna growth equity,Series C,66.4
2020-01-10,Zomato,Hospitality,Online food delivery platform,Gurgaon,Ant financial,Private Equity Round,1237.5
2020-01-09,BYJU'S,E-Tech,E-learning,Bangalore,Tiger global management,Private Equity Round,1650.0
2020-01-09,Mamaearth,E-Commerce,Retailer of baby and toddler products,Bangalore,Sequoia india,Series B,151.46
2020-01-02,Wealthbucket,FinTech,Online investment,New Delhi,Vinod khatumal,Pre-series A,24.75
2020-01-02,Fashor,Fashion And Apparel,Embroiled clothes for women,Mumbai,Sprout venture partners,Seed Round,14.85
2019-12-20,Lenskart,E-Commerce,Online eyewear shopping portal,Faridabad,Softbank vision fund,Series G,1905.75
2019-12-17,Healthians,B2B-Focused Foodtech Startup,Food solutions for corporate,Bangalore,"Nptk,Paytm,Sabre partners and neoplux",Series C,99.0
2019-12-16,Licious,E-Commerce,Online meat and seafood ordering startup,Bangalore,Vertex growth fund,Series E,247.5
2019-12-14,Trell,Video,Experience discovery platform,Bangalore,Ruizheng investment,Seed Round,16.5
2019-12-13,Rivig,Technology,Logistics services and solutions,Gurgaon,"Saif partners,Spring canter investment ltd",Series F,165.0
2019-12-12,Ecozen,Technology,Agritech,Pune,Sathguru catalyzer advisors,Series A,49.5
2019-12-11,Rein games,Gaming,Real money based gaming startup,Noida,Manipal education and medical group (memg),Seed Round,412.5
2019-12-06,Cardekh,E-Commerce,Automobile,Gurgaon,Ping an global voyager fund,Series D,577.5
2019-12-03,Dhruva space,Aerospace,Satellite communication,Bangalore,"Mumbai angels,Ravikanth reddy",Seed,412.5
2019-11-25,Payt,FinTech,Mobile wallet,Noida,Vijay shekhar sharma,Funding Round,8250.0
2019-11-20,Aye finance,FinTech,Financial services to msmes,Gurgaon,Fintech,Debt Funding,143.64
2019-11-20,Clumi,Saas,Recovery software,"San Jose,","Altimeter capital,Sutter hill ventures",Series C,1113.75
2019-11-19,Digital mall asia,E-Commerce,Virtual e-commerce platform,Delhi,Amour infrastructure,Seed Funding,1815.0
2019-11-18,Healthians,Health And Wellness,Healthcare services,Gurgaon,"Dg daiwa ventures,Dg incubation",Series B,99.0
2019-11-18,Medikabazaar,Healthcare,B2b platform for medical supplies,Mumbai,"Ackermans & van haaren,Healthquad,Rebright partners,Toppan printing",Series B,130.35
2019-11-17,Burger singh,Food And Beverage,Indian burger brand,Gurgaon,Rb investments,Venture,0.0
2019-11-15,Ninjacart,B2B Marketing,Agritech,Bangalore,Trifecta capital advisors,Debt Funding,214.5
2019-11-15,Vogo automotive,Last Mile Transportation,Scooter sharing app,Kormangala,"Kalaari capital,Matrix partners,Stellaris venture partners",Series B,2334.75
2019-11-14,Misters,Health And Wellness,Men's health and wellness brand,Gurgaon,"Rainforest ventures,Sauce.vc",Series B,4.01
2019-11-13,Sunstone eduversity pvt. ltd,Education,Elearning,Gurgaon,"Letsventure,Prime venture partners,Ps1 venture and globallogic co-founder rajul garg",Seed,12.38
2019-11-13,Freshworks,Software,Business and customer engagement tools,San Francisco,"Accel,Capitalg,Sequoia capital",Series H,1237.5
2019-11-12,Supergaming,Video Games,Social gaming platform,Pune,Dream incubator,Seed Funding,10.72
2019-11-11,Ebikeg,Last Mile Transportation,Electric bike rental,Amritsar,Startup buddy,Seed,2.48
2019-10-21,The man company,Consumer Goods,Beauty and grooming,Gurgaon,Ayushmann khurana,Corporate Round,0.0
2019-10-04,Dunz,Customer Service,Delivery service,Bangalore,Lightbox,Series D,371.25
2019-10-02,Udaan,B2B,Business development,Bangalore,"Altimeter capital,Dst global",Series D,4826.25
2019-09-05,Fpl technologies,FinTech,Financial services,Pune,"Matrix partners india,Sequoia india",Maiden Round,37.12
2019-09-04,75f,Iot,Building automation system,Burnsville,Breakthrough energy ventures,Series A,148.5
2019-09-04,Goqii,Health And Wellness,Wearable fitness bands,Menlo Park,Bennett coleman and company ltd (bccl),Series C,3712.5
2019-09-04,Myelin foundry,Information Technology,Deep-technology,Bangalore,Endiya partners,Seed,8.25
2019-09-04,Atomberg technology,Consumer Technology,"Consumer electronics, home appliances",Mumbai,A91 partners,Series A,82.5
2019-09-04,3rdflix,Saas,Education technology,Hyderabad,Exfinity venture partners,pre-series A,41.25
2019-09-04,Digital f5,"Advertising, Marketing",Digital marketing firm,Mumbai,Tiw private equity,Private Equity Round,49.5
2019-09-04,Cashfl,FinTech,Invoice discounting platform and sme lending marketplace,Mumbai,Saif partners,Series A,27.23
2019-09-03,Vyapar app,Accounting,Mobile-based accounting software,Bangalore,"Axilor ventures,India quotient",Series A,41.25
2019-08-27,Rapido bike taxi,Transportation,Bike taxi,Bangalore,Westbridge capital,Series B,32175.0
2019-08-23,Zendrive,Automotive,Road safety analytics,San Francisco,Xl innovate,Series B,305.25
2019-08-23,Admitkard,Ed-Tech,University admissions,Noida,Growth dna,Seed Round,8.25
2019-08-23,Tala,FinTech,Digital lending platform,Santa Monica,Rps ventures,Series D,907.5
2019-08-23,Lo! foods,Consumer Goods,Low carb food for diabetics,Bangalore,"Bookmyshow),Freshmenu),Myntra) and mitesh shah (finance chief,Rashmi daga (founder,Raveen sastry (co-founder",Seed Round,4.12
2019-08-22,Indwealth,FinTech,Wealth management,Gurgaon,Tiger global management,Venture Round,123.75
2019-08-21,Hungerbox,Food And Beverage,B2b foodtech,Bangalore,One97 communications ltd,Series C,54.37
2019-08-19,Mishry reviews,Services,Product review,Gurgaon,Vir sanghvi,Series A,0.0
2019-08-19,Grofers,E-Commerce,Grocery delivery,Gurgaon,Softbank vision fund,Series F,577.5
2019-08-13,Uniphore,Customer Service Platform,Conversational ai,Palo Alto,March capital partners,Series C,420.75
2019-08-13,Cars24,E-Commerce,Car retail,Gurgaon,Ms dhoni,Series D,90.75
2019-08-12,Meesh,E-Commerce,Social commerce,Bangalore,Naspers,Series D,1031.25
2019-08-01,Cardekh,E-Commerce,Automotive,Gurgaon,Sc gg india mobility holdings llc,Series C,165.0
2019-08-01,Progcap,Finance,Supply chain management,New Delhi,Sequoia india,Series A,41.25
2019-08-01,Alteria capital,Finance,Vc funds,Mumbai,"Azim premji,Binny bansal",Single Venture,1155.0
2019-08-01,Pine labs,Information Technology,Last-mile retail transaction technology,Noida,Pine labs pte ltd,Corporate Round,314.16
2019-07-11,Moglix,E-Commerce,Industrial tools and equipments,Singapore,"Composite capital management,Sequoia india,Tiger global management",Series D,495.0
2019-07-10,Indus os,Tech,Smartphone operating system,Andheri,Ventureast,Series B,47.44
2019-07-10,Healthassure,Health Care,Primary care medical network,Mumbai,Blume ventures,Series A,20.62
2019-07-10,byju\\'s,Ed-Tech,Education,Bangalore,Qatar investment authority,Private Equity Round,1237.5
2019-07-10,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,132.0
2019-07-09,House of msasaba,Luxury Label,Clothes and apparel,Mumbai,Binny bansal,Series A,8.25
2019-07-08,Board infinity,Ed-Tech,Full-stack career platform,Chembur,Multiple angel investors,Angel Round,2.64
2019-07-04,Daalchini technologies,Food And Beverage,Digital vending machine,New Delhi,Artha venture,Seed Round,4.12
2019-07-03,Ola cabs,Transport,Cabs,Kormangala,"Deshe holdings,Dig investment ab,Samih toukan and hussam khoury",Series J,8.25
2019-07-02,Renewbuy,Finance,Auto insurance,Gurgaon,"Iifl wealth,Lok capital",Series B,156.75
2019-07-02,Atlan,Information Technology,Big data,Singapore,Waterbridge ventures,Pre-Series A,20.62
2019-07-01,Uniphore,Artificial Intelligence,Speech recognition,Taramani,March capital partners,Series C,314.16
2019-07-01,Wizcounsel,Compliance,Consulting,New Delhi,Kapil dev,Angel,1.2
2019-06-10,Okcredit,FinTech,Financial services,Haryana,Tiger global management,Series A,127.88
2019-06-10,Bolo app,Digital Media,Video platform,Bangalore,Nexus venture partners,Seed Funding,3.55
2019-06-08,Vogo automotive pvt. ltd,Transportation,Dockless scooter rental company,Karnataka,Alteria capital,Debt Funding,29.57
2019-06-06,Pratilipi,Digital Media,E-books,Bangalore,Qiming venture partners,Series B,124.65
2019-06-06,Biz2credit,FinTech,Online lending platform,New York,Westbridge capital,Series B,429.0
2019-06-06,Chakr innovation,Energy,Renewable energy,New Delhi,Ian fund,Series A,214.5
2019-06-05,Nobroker,E-Commerce,Real estate,Bangalore,General atlantic,Series C,420.75
2019-06-04,Leegality,Services,Digital documentation,Mumbai/Bengaluru,Mumbai angels,Series A,28.05
2019-06-04,Bharatpe,Finance,Fintech,New Delhi,Insight partners,Series B,618.75
2019-06-04,Recykal,Waste Management Service,Optimization,Hyderabad,"Pidilite industries director ajay parekh,Triton investment advisors",pre-Series A,214.5
2019-06-04,Bira91,Food And Beverage,Brewery,New Delhi,Anicut capital,Debt Funding,82.5
2019-06-03,Agara labs,Deep-Tech,Artificial intelligence,Bangalore,Blume ventures and rtp global,pre-Series A,20.62
2019-06-03,Avail finance,Finance,Fintech,Bangalore,Matrix partners,Series A,74.25
2019-05-31,Bira91,Food And Beverage,Brewery,New Delhi,Sixth sense ventures,Series B,46.2
2019-05-30,Glowroad,E-Commerce,Retail,Bangalore,"Korea investment partners,Vertex ventures",Series B,94.88
2019-05-28,Ather energy,Automobile,Electric vehicle,Bangalore,Sachin bansal,Series C,420.75
2019-05-28,Freshvnf,Agtech,Fresh agriculture produces,Mumbai,Equanimity ventures,Seed Round,1155.0
2019-05-06,Ola electri,Transport,Cabs,Bangalore,Tata sons,Series A,0.0
2019-05-06,Saahas zero waste,Waste Management Service,Optimization,Bangalore,C4d partners,Venture - Series Unknown,7.17
2019-05-05,Styledotme,E-Commerce,Fashion and shopping,Delhi,"And former hero corporate president rohit chanana,Indian angel network and other angel investors,Innov8 founder ritesh malik,Josh talks founders supriya paul and shobha banga",Bridge Round,0.0
2019-05-02,Zenoti,Saas,Beauty and wellness industry,Hyderabad,Tiger global management,Series C,412.5
2019-05-01,Blackbuck,Transport,Logistics,Bangalore,"B capital,Goldman sachs investment partners and silicon valley-based accel,Lightstreet,Sands capital and international finance corporation,Sequoia capital,Wellington",Series D,1237.5
2019-04-19,My healthcare,E-Commerce,Software solutions,Bengaluru and Gurugram,Sixth sense ventures,Series A,24.75
2019-04-17,Increff,Technology,Supply-chain technology solutions,Bangalore,"021 capita,Binny bansal",Series A,24.75
2019-04-17,Shuttl,Transportation,Bus aggregation,Gurgaon,New atlantic ventures,Venture Round,41.25
2019-04-16,Kuvera,Finance,Wealth management,Bangalore,Eight roads,Series A,371.25
2019-04-13,Tripot,Social Media,Travel,New Delhi,"3one4 capital,Chiratae ventures (formerly idg ventures),Hornbill orchid india fund,Lasmer nv,Orchid india",Series B,29.63
2019-04-12,Azah,Health And Wellness,Organic wellness,Gurgaon,Unnamed angel investors,Seed Funding,1.65
2019-04-12,Medlife,E-Commerce,Online medicine,Bangalore,Prasid uno family trust,Private Equity,140.25
2019-04-11,Setu,FinTech,Banking,Bangalore,Lightspeed india partners,Seed Funding,28.88
2019-04-11,Clevertap,Saas,Mobile analytics and marketing,Mumbai,"Accel partners,Sequoia india,Tiger global management",Series B,214.5
2019-04-10,Toppr,Ed-Tech,E-learning,Mumbai,Milestone,Debt and Preference capital,52.15
2019-04-10,Craftsvilla,E-Commerce,Fashion and apparel,Mumbai,Supera pte ltd,Inhouse Funding,20.16
2019-04-10,Unacademy,Ed-Tech,E-learning,Bangalore,Kalyan krishnamurthy,Seed / Angel Funding,2.53
2019-04-10,Kabadiwala,E-Commerce,Waste management,Bhopal,"Abcom investments,Beehive capital advisor,Parekh marine transport,Unilever",Private Equity,3.55
2019-02-13,Nanoclean global,Nanotechnology,Anti-pollution,New Delhi,"91springboard,Al nour international holdings and mark v investments,Letsventure,Pitchright venture",Series A,4.95
2019-02-08,Ziling,E-Commerce,Fashion & apparel,India/Singapore,"And sofina,Burda principal investments,Edbi,Sequoia capital,Temasek holdings",Series D,1864.5
2019-02-01,Fleetx,AI,Logistics,Gurgaon,India quotient and letsventure's angel fund,Pre Series A,0.0
2019-01-04,Vyome therapeutics in,Health And Wellness,Specialty pharmaceutical,India/US,"Iron pillar,Kalaari capital,Perceptive advisors,Romulus capital",Series D,181.5
2019-01-04,Samunnati financial intermediation & services pvt. ltd,Finance,Non-banking financial company,Chennai,"A dutch government fund,Massif",Debt-Funding,41.25
2019-01-03,Cardekh,Automobile,Online marketplace,Jaipur,"Alphabet's growth investment arm capital g and axis bank,Hillhouse capital,Sequoia india",Series C,907.5
2018-12-06,Shopkirana,B2B,Ecommerce,Indore,"Aet fund,Akatsuki and incubate fund from japan and better capital angellist syndicate,Info edge",Seed Funding,16.5
2018-12-06,Buildsupply,"Saas, Ecommerce","Real estate, erp",Gurgaon,"Gree ventures,Individual investors,Space matrix,Venture highway",Series A,28.88
2018-12-04,Manch,Social Media,Hyperlocal content,Delhi,Stellaris venture partners,Seed Funding,5.78
2018-12-04,Nagpur wholesale,Online Marketplace,Ecommerce,Nagpur,Omphalos ventures india llp,Seed Funding,1.18
2018-12-02,Guidd,Travel Tech,Platform for travel agents,Mumbai,Individual investors,Pre-Series A,6.6
2018-12-02,Career anna,Online Education,"Video-based certification, trainings",Gurgaon,Individual investors,Pre-Series A,4.72
2018-12-01,Urbanclap technologies pvt. ltd,Services Platform,Home services marketplace,New Delhi,Steadview capital and vy capital,Series D,412.5
2018-11-25,Ropos,Social Media,Video sharing,Delhi,Bertelsmann india investments,Series B,14.03
2018-11-25,Incred finance,Finance,Sme lending,India,"Individual investors,Paragon partners",Private Equity,346.5
2018-11-24,Engineer.ai,Software,Ai platform,India/US,"Lakestar and jungle ventures,Softbank's deepcore",Series A,243.38
2018-11-23,Signzy,Financial Tech,Digital onboarding solution,Mumbai/Bengaluru,"And amrish rau from payu india,Dilip khandwelwal from sap labs india,Kalaari capital,Rajan anandan from google,Stellaris venture partners",Series A,28.05
2018-11-22,Aavishkaar-intellecap group,Investment,Sme funding,Mumbai,Teachers insurance and annuity association (tiaa),Equity Based Funding,255.75
2018-11-22,Skillbox,Social Network,Art,Gurgaon,Individual investors,Seed Funding,0.0
2018-11-21,Genius corner,Education,Personalized learning,Noida,Individual investors,Seed Funding,2.29
2018-11-20,Healthifyme,Health And Wellness,Wellness coach,Bangalore,"Blume ventures and innoven capital,Chiratae ventures,Inventus capital,Sistema asia fund,Vc samsung next",Series B (Extension),49.5
2018-11-19,Automation anywhere,Automation,Robotics,California,Softbank vision fund,Series B,2475.0
2018-11-14,Cleansecar,Services,Car wash,Bangalore,Venture catalysts,Seed / Angel Funding,4.12
2018-11-13,Driveu,Transport,On-demand drivers,Bangalore,Stevens creek ventures,Mezzanine,8.25
2018-11-12,Blackbuck,Food Tech,Pos for online ordering,"New York, Bengaluru",Tiger global,Series A,8.25
2018-11-12,Milkbasket,Food,Micro-delivery grocery service,New Delhi,Mayfield fund,Series B,10.72
2018-11-08,Mobile premier league,Gaming,Mobile e-sports,Bangalore,Undisclosed,Series A,4.12
2018-11-08,A&r bon vivants,Food,Meat retail chain,Jaipur,"Rb investments,Singapore",Equity,8.25
2018-11-06,Meesh,E-Commerce,Social commerce,Bangalore,"Dst partners and rps ventures,Shunwei capital",Series C,412.5
2018-11-03,Veritas finance ltd,Nbfc,Msme finance,Chennai,"Cdc group,Norwest venture partners,The uk's development finance institution and p surendra pai",Series D,229.34
2018-11-01,Godesi,Food And Beverage,Regional flavours,Bangalore,Lead angels network,Seed / Angel Funding,1.15
2018-10-12,Blackbuck,Logistics Tech,Largest trucking platform,Bangalore,Sequoia india,Private Funding,121.11
2018-10-12,Letstransport,Logistics Tech,Book trucks online,Bangalore,Fosun international,Series C,99.0
2018-10-11,Innov8,Real Estate,Co-working,New Delhi,Credence family office,Pre-Series A,33.0
2018-10-05,Dr,Automobile,New and used cars platform,Gurgaon,Zigexn,Series E,24.75
2018-10-04,Grover zampa,Food,Wine,Mumbai,Ravi viswanathan,Private Equity,67.65
2018-10-02,Origo commodities india pvt. ltd,Logistics,Supply chain,Hyderabad,"Caspian and hivos-triodos fund,Cooperative oikocredit",Seed / Angel Funding,90.75
2018-10-01,Northmist,Fashion,Mens wear,Delhi,Prashant jaiswal,Seed / Angel Funding,0.0
2018-09-12,Kissht,FinTech,Online lending platform,Mumbai,"And endiya partners.\\n\\n,Fosun rz capital,Ventureast,Vertex ventures southeast asia (sea) and india and sistema asia fund",Private Equity,247.5
2018-09-11,Upwards,FinTech,Online micro lending marketplace,Mumbai,"Mayfield & others,Quotient,Shunwei capital",Private Equity,41.25
2018-09-11,Pharmeasy,Consumer Internet,Online marketplace for pharmaceutical products,Mumbai,Innoven capital,Debt Funding,45.38
2018-09-11,Autogrid,Technology,Ai-based energy optimisation and control provider,Bangalore,"And tenaska,Clp holdings group,Innogy,Orstead",Private Equity,264.0
2018-09-10,Mamaearth,Healthcare,Online marketplace for mother and babycare products,Gurgaon,Stellaris ventures & others,Private Equity,33.0
2018-09-06,Dream11,Consumer Internet,Online gaming platform,Mumbai,"Kalaari capital and private equity firm multiples alternate asset management,Tencent",Private Equity,825.0
2018-09-05,Mad street den,Technology,Computer vision and artificial intelligence (ai) platform,Chennai,Kddi,Private Equity,0.0
2018-09-05,Nykaa,Consumer Internet,Online marketplace for multi-brand beauty cosmetic and wellness products,Mumbai,Lighthouse,Private Equity,1296.9
2018-09-04,Happygoeasy,Consumer Internet,Online travel agecy,Gurgaon,"Korea investment partners (kip),Samsung and china-based citic capital and others",Private Equity,0.0
2018-09-03,Daily hunt,Consumer Internet,News and ebooks mobile app,Bangalore,Falcon edge,Private Equity,52.72
2018-09-03,Udaan,B2B Platform,Logistics and shipping,Bangalore,Dst global and lightspeed venture partners' global fund,Private Equity,1856.25
2018-09-01,Netmeds,Consumer Internet,Online pharmacy chain,Chennai,"Sistema asia fund,Sistema jsfc and tanncam investment",Private Equity,288.75
